exoId;exoDescription;exoMaterial;exoOneTwoSided;exoActivePassive;exoName;exoManufacturer
1;De Carrysuit is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen.;harde materialen;dubbelzijdig;passief;CarrySuit;Auxivo
2;De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk.;harde materialen;dubbelzijdig;passief;Paexo Shoulder;Ottobock Bionic Exoskeletons
3;De Paexo Neck is een passief exoskelet dat de nek ontlast bij het statisch achteroverbuigen van het hoofd.;harde materialen;dubbelzijdig;passief;Paexo Neck;Ottobock Bionic Exoskeletons
4;De Paexo Wrist is een passief exosuit dat de pols ondersteunt bij het hanteren van lasten.;zachte materialen;eenzijdig;passief;Paexo Wrist;Ottobock Bionic Exoskeletons
5;De SuitX BackX is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen.;harde materialen;dubbelzijdig;passief;SuitX BackX;Ottobock Bionic Exoskeletons
6;De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk.;harde materialen;dubbelzijdig;passief;Mate-XT;Comau
7;De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen.;harde materialen;dubbelzijdig;passief;Paexo Back;Ottobock Bionic Exoskeletons
8;De Paexo Soft Back is een passief exosuit dat de onderrug ontlast bij het staan en het dragen van lichtere lasten zoals bv. bij langdurig staand assemblagewerk, orderpicking, het hanteren van lichtere lasten en pakketbezorging.;zachte materialen;dubbelzijdig;passief;Paexo Soft Back;Ottobock Bionic Exoskeletons
9;De Paexo Thumb is een passief exoskelet dat de duim ontlast bij het vastklikken, inpluggen en indrukken van items tijdens de montagewerken.;harde materialen;eenzijdig;passief;Paexo Thumb;Ottobock Bionic Exoskeletons
10;De SuitX LegX is een passief exoskelet dat de knieën ontlast tijdens het herhaaldelijk of langdurig door de benen buigen.;harde materialen;dubbelzijdig;passief;SuitX LegX;Ottobock Bionic Exoskeletons
11;De Moon is een passief exoskelet dat de nek ontlast bij het statisch achteroverbuigen van het hoofd.;harde materialen;dubbelzijdig;passief;Moon;HMT
12;De Plum is een passief exoskelet dat de schouders ontlast bij bovenhands werk.;harde materialen;dubbelzijdig;passief;Plum;HMT
13;De Light is een passief exoskelet dat de schouders en ellebogen ontlast bij repetitieve armbewegingen en bij houdingen waarbij men de armen langdurig voor zich uit moet houden.;harde materialen;dubbelzijdig;passief;Light;HMT
14;De Hapo MS is een passief exoskelet dat de schouders en ellebogen ontlast bij repetitieve armbewegingen en bij houdingen waarbij men de armen langdurig voor zich uit moet houden.;harde materialen;dubbelzijdig;passief;Hapo MS;Ergosanté
15;De Hapo Posture Harness is een passief exoskelet dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen.;harde materialen;dubbelzijdig;passief;Hapo Posture Harness;Ergosanté
16;De Ironhand is een actief exosuit die de hand en onderarm ontlast door het gripversterkende effect van de handschoen.;zachte materialen;eenzijdig;actief;Ironhand;Bioservo Technologies
17;De SuitX ShoulderX is een passief exoskelet dat de schouders ontlast bij bovenhands werk.;harde materialen;dubbelzijdig;passief;SuitX ShoulderX;Ottobock Bionic Exoskeletons
18;De Archelis for Medical is een passief exoskelet dat de benen en onderrug ontlast bij langdurig staand werk.;harde materialen;dubbelzijdig;passief;Archelis for Medical;Archelis Inc
19;De AGADEXO Shoulder is een semi-actief exoskelet dat de schouder ontlast bij het manueel hanteren van materialen in de productie, logistiek en detailhandel.;harde materialen;dubbelzijdig;actief;AGADEXO Shoulder;AGADE
20;De Exowaist is een passief exoskelet dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen.;zachte materialen;dubbelzijdig;passief;Exowaist;Cyber Human Systems
21;De Exoshoulder is een passief exoskelet dat de schouders ontlast door de armen te ondersteunen bij repetitieve taken met de bovenste ledematen in verhoogde posities (ook voor horizontale verplaatsing van lasten).;harde materialen;dubbelzijdig;passief;Exoshoulder;Cyber Human Systems
22;De Exosoft is een passief exosuit dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen.;zachte materialen;dubbelzijdig;passief;Exosoft;Cyber Human Systems
23;De Atlas is een passief exoskelet dat de handen, armen, schouders en rug ontlast bij het dragen of vasthouden van zware voorwerpen.;harde materialen;dubbelzijdig;passief;Atlas;Exomys - Augmented Humanity GmbH
24;De Back Protect is een passief exoskelet dat een goede tilhouding stimuleert om zo rugklachten voorkomen.;zachte materialen;dubbelzijdig;passief;Back Protect;BeMedico
25;De CareExo Lift is een passief exosuit, specifiek voor de zorg ontwikkeld, dat de rug, heup en knieën ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij patiëntentransfers.;zachte materialen;dubbelzijdig;passief;CareExo Lift;Hunic
26;De SoftExo Lift is een passief exosuit dat de rug, heup en knieën ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen.;zachte materialen;dubbelzijdig;passief;SoftExo Lift;Hunic
27;De SoftExo Hold is een passief exosuit dat de rug ontlast bij een gedwongen houding zoals bv. bij langdurig staan en assemblagewerk.;zachte materialen;dubbelzijdig;passief;SoftExo Hold;Hunic
28;De SoftExo Carry is een passief exoskelet dat de onderrug ontlast bij het dragen van lasten waarbij maximale bewegingsvrijheid vereist is zoals bv. bij pakketbezorging, magazijnwerk en de bouw.;zachte materialen;dubbelzijdig;passief;SoftExo Carry;Hunic
29;De Chairless Chair is een passief exoskelet dat de benen en onderrug ontlast doordat er snel, gemakkelijk en flexibel gewisseld kan worden tussen zitten, staan en lopen.;harde materialen;dubbelzijdig;passief;Chairless Chair;Noonee
30;De Cray X is een actief exoskelet dat de rug en heup ontlast bij het tillen van zware voorwerpen.;harde materialen;dubbelzijdig;actief;Cray X;German Bionic
31;De EVO is een passief exoskelet dat de schouders ontlast bij bovenhands werk.;harde materialen;dubbelzijdig;passief;EVO;Ekso Bionics
32;De HeroWear Apex is een passief exosuit dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen.;zachte materialen;dubbelzijdig;passief;HeroWear Apex;HeroWear
33;De Laevo Flex is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen.;harde materialen;dubbelzijdig;passief;Laevo Flex;Laevo
34;De LEX Bionic Chair is een passief exoskelet dat de benen en onderrug ontlast doordat er snel, gemakkelijk en flexibel gewisseld kan worden tussen zitten, staan en lopen.;harde materialen;dubbelzijdig;passief;LEX Bionic Chair;Astride Bionics
35;De LiftSuit is een passief exosuit dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen.;zachte materialen;dubbelzijdig;passief;LiftSuit 2.0;Auxivo
36;De Skelex 360-XFR is een passief exoskelet dat de schouders ontlast bij bovenhands werk.;harde materialen;dubbelzijdig;passief;Skelex 360-XFR;Skelex
37;De Skelex Neck Support is een passief exoskelet dat de nek ontlast bij het statisch achteroverbuigen van het hoofd.;harde materialen;dubbelzijdig;passief;Skelex Neck Support;Skelex
38;De ProFlex 1100SF is een passief exosuit dat de onderrug ontlast bij het staan en het hanteren van lichtere lasten zoals bv. bij langdurig staand assemblagewerk, orderpicking, het hanteren van lichtere lasten en pakketbezorging.;zachte materialen;dubbelzijdig;passief;ProFlex 1100SF;Ergodyne
